checkpoint (in update steps),relation_type,metric_name,metric
0,acc,0.49
10,acc,0.486
20,acc,0.484
40,acc,0.456
100,acc,0.448
200,acc,0.494
400,acc,0.494
800,acc,0.494
1000,acc,0.494
2000,acc,0.494
3000,acc,0.494
4000,acc,0.502
5000,acc,0.486
6000,acc,0.546
7000,acc,0.53
8000,acc,0.494
9000,acc,0.492
10000,acc,0.494
11000,acc,0.494
12000,acc,0.494
13000,acc,0.494
14000,acc,0.48
15000,acc,0.494
16000,acc,0.494
17000,acc,0.494
18000,acc,0.494
19000,acc,0.494
20000,acc,0.494
21000,acc,0.494
22000,acc,0.494
22437,acc,0.494
44874,acc,0.458
67311,acc,0.494
89748,acc,0.492
112185,acc,0.494
134622,acc,0.498
157059,acc,0.494
179496,acc,0.494
201933,acc,0.494
224370,acc,0.478
246807,acc,0.492
269244,acc,0.494
291681,acc,0.494
314118,acc,0.494
336555,acc,0.494
358992,acc,0.494
381429,acc,0.494
403866,acc,0.494
426303,acc,0.494
448740,acc,0.494
471177,acc,0.494
493614,acc,0.492
516051,acc,0.494
538488,acc,0.494
560925,acc,0.494
583362,acc,0.508
605799,acc,0.462
628236,acc,0.494
650673,acc,0.49
673110,acc,0.494
695547,acc,0.494
717984,acc,0.494
740421,acc,0.464
762858,acc,0.494
785295,acc,0.494
807732,acc,0.494
830169,acc,0.494
852606,acc,0.494
875043,acc,0.494
897480,acc,0.494
919917,acc,0.494
